key	value
CHARACTER_CREATION_CUSTOMIZER_HEAD_HAIR_STYLE	Hair
CHARACTER_CREATION_CUSTOMIZER_HEAD_EARS	Ears
CHARACTER_CREATION_CUSTOMIZER_HEAD_EYES	Eyes
CHARACTER_CREATION_CUSTOMIZER_HEAD_MOUTH	Mouth
CHARACTER_CREATION_CUSTOMIZER_HEADER_BODY	Body
CHARACTER_CREATION_CUSTOMIZER_BODY_HEIGHT	Height
CHARACTER_CREATION_CUSTOMIZER_BODY_WIDTH	Width
CHARACTER_CREATION_CUSTOMIZER_BODY_CHEST	Chest
CHARACTER_CREATION_CUSTOMIZER_BODY_ARMS	Arms
CHARACTER_CREATION_CUSTOMIZER_BODY_BELLY	Belly
CHARACTER_CREATION_CUSTOMIZER_BODY_BOTTOM	Bottom
CHARACTER_CREATION_CUSTOMIZER_BODY_TAIL	Tail
CHARACTER_CREATION_CUSTOMIZER_BODY_TOGGLE_LEFT_HANDED	Mirror Body
CHARACTER_CREATION_CUSTOMIZER_HEADER_TRAIT	Trait
CHARACTER_CREATION_CUSTOMIZER_TRAIT_EQUIPMENT	Equipment
CHARACTER_CREATION_CUSTOMIZER_TRAIT_WEAPON_LOADOUT	Weapon
CHARACTER_CREATION_CUSTOMIZER_TRAIT_GEAR_DYE	Dye
CHARACTER_CREATION_CUSTOMIZER_TRAIT_ATTRIBUTES	Attributes
CHARACTER_CREATION_CUSTOMIZER_TRAIT_RESET_ATTRIBUTE_POINTS	Reset Points
SETTINGS_TAB_BUTTON_VIDEO	Display
SETTINGS_TAB_BUTTON_AUDIO	Audio
SETTINGS_TAB_BUTTON_INPUT	Input
SETTINGS_TAB_BUTTON_NETWORK	Interface
SETTINGS_VIDEO_HEADER_GAME_EFFECT_SETTINGS	Display Sensitive Settings
SETTINGS_VIDEO_CELL_PROPORTIONS_TOGGLE	Limit Player Character Proportions
SETTINGS_VIDEO_CELL_JIGGLE_BONES_TOGGLE	Disable Suggestive Jiggle Bones
SETTINGS_VIDEO_CELL_CLEAR_UNDERCLOTHES_TOGGLE	Enable Clear Clothing
SETTINGS_VIDEO_HEADER_VIDEO_SETTINGS	Video Settings
SETTINGS_VIDEO_CELL_FULLSCREEN_TOGGLE	Fullscreen Mode
SETTINGS_VIDEO_CELL_VERTICAL_SYNC	Vertical Sync / Lock 60 FPS
SETTINGS_VIDEO_CELL_ANISOTROPIC_FILTERING	Anisotropic Filtering
SETTINGS_VIDEO_CELL_SCREEN_RESOLUTION	Screen Resolution
SETTINGS_VIDEO_CELL_ANTI_ALIASING	Anti Aliasing
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_1	Disabled
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_2	2x Multi Sampling
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_3	4x Multi Sampling
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_4	8x Multi Sampling
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING	Texture Filtering
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_1	Bilnear (Smooth)
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_2	Nearest (Crunchy)
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY	Texture Quality
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_1	High
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_2	Medium
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_3	Low
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_4	Very Low
SETTINGS_VIDEO_HEADER_CAMERA_SETTINGS	Camera Display Settings
SETTINGS_VIDEO_CELL_FIELD_OF_VIEW	Field Of View
SETTINGS_VIDEO_CELL_CAMERA_SMOOTHING	Camera Smoothing
SETTINGS_VIDEO_CELL_CAMERA_HORIZ	Camera X Position
SETTINGS_VIDEO_CELL_CAMERA_VERT	Camera Y Position
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE	Render Distance
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_1	Very Near
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_2	Near
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_3	Far
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_4	Very Far
SETTINGS_VIDEO_HEADER_POST_PROCESSING	Post Processing
SETTINGS_VIDEO_CELL_CAMERA_BITCRUSH_SHADER	Enable Bitcrush Shader
SETTINGS_VIDEO_CELL_CAMERA_WATER_EFFECT	Enable Underwater Distortion Shader
SETTINGS_VIDEO_CELL_CAMERA_SHAKE	Enable Screen Shake
SETTINGS_VIDEO_CELL_WEAPON_GLOW	Disable Weapon Glow Effect
SETTINGS_AUDIO_HEADER_AUDIO_SETTINGS	Audio Settings
SETTINGS_AUDIO_CELL_MASTER_VOLUME	Master Volume
SETTINGS_AUDIO_CELL_MUTE_APPLICATION	Mute Application
SETTINGS_AUDIO_CELL_MUTE_MUSIC	Mute Music
SETTINGS_AUDIO_HEADER_AUDIO_CHANNEL_SETTINGS	Audio Channels
SETTINGS_AUDIO_CELL_GAME_VOLUME	Game Volume
SETTINGS_AUDIO_CELL_GUI_VOLUME	GUI Volume
SETTINGS_AUDIO_CELL_AMBIENCE_VOLUME	Ambience Volume
SETTINGS_AUDIO_CELL_MUSIC_VOLUME	Music Volume
SETTINGS_AUDIO_CELL_VOICE_VOLUME	Voice Volume
SETTINGS_INPUT_HEADER_INPUT_SETTINGS	Input Settings
SETTINGS_INPUT_CELL_AXIS_TYPE	Analog Stick Axis Type
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_1	WASD (8 Directional)
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_2	Xbox
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_3	Playstation 4
SETTINGS_INPUT_HEADER_CAMERA_CONTROL	Camera Control
SETTINGS_INPUT_CELL_CAMERA_SENSITIVITY	Axis Sensitivity
SETTINGS_INPUT_CELL_INVERT_X_CAMERA_AXIS	Invert X Axis
SETTINGS_INPUT_CELL_INVERT_Y_CAMERA_AXIS	Invert Y Axis
SETTINGS_INPUT_CELL_KEYBINDING_RESET_CAMERA	Reset Camera
SETTINGS_INPUT_HEADER_MOVEMENT	Movement
SETTINGS_INPUT_CELL_KEYBINDING_UP	Up
SETTINGS_INPUT_CELL_KEYBINDING_DOWN	Down
SETTINGS_INPUT_CELL_KEYBINDING_LEFT	Left
SETTINGS_INPUT_CELL_KEYBINDING_RIGHT	Right
SETTINGS_INPUT_CELL_KEYBINDING_JUMP	Jump
SETTINGS_INPUT_CELL_KEYBINDING_DASH	Dash
SETTINGS_INPUT_HEADER_STRAFING	Strafing
SETTINGS_INPUT_CELL_KEYBINDING_LOCK_DIRECTION	Strafe
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE	Strafe / Aim Mode
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_1	Hold Strafe Key
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_2	Toggle Strafe Key
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_WEAPON	Strafe While Holding Weapon
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_CASTING	Strafe While Casting Offensive Skills
SETTINGS_INPUT_HEADER_ACTION	Action
SETTINGS_INPUT_CELL_KEYBINDING_ATTACK	Attack
SETTINGS_INPUT_CELL_KEYBINDING_CHARGE_ATTACK	Charge Attack
SETTINGS_INPUT_CELL_KEYBINDING_BLOCK	Block
SETTINGS_INPUT_CELL_KEYBINDING_TARGET	Lock On
SETTINGS_INPUT_CELL_KEYBINDING_INTERACT	Interact
SETTINGS_INPUT_CELL_KEYBINDING_PVP_FLAG	PvP Flag Toggle
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_01	Skill Slot 1
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_02	Skill Slot 2
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_03	Skill Slot 3
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_04	Skill Slot 4
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_05	Skill Slot 5
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_06	Skill Slot 6
SETTINGS_INPUT_CELL_KEYBINDING_RECALL	Recall
SETTINGS_INPUT_CELL_KEYBINDING_QUICKSWAP_WEAPON	Quickswap Weapon
SETTINGS_INPUT_CELL_KEYBINDING_SHEATHE_WEAPON	Sheathe / Unsheathe Weapon
SETTINGS_INPUT_CELL_KEYBINDING_SIT	Sit
SETTINGS_INPUT_HEADER_CONSUMABLE_SLOTS	Consumable Quick Slots
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_01	Quick Slot 1
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_02	Quick Slot 2
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_03	Quick Slot 3
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_04	Quick Slot 4
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_05	Quick Slot 5
SETTINGS_INPUT_HEADER_INTERFACE	Interface
SETTINGS_INPUT_CELL_KEYBINDING_HOST_CONSOLE	Host Console
SETTINGS_INPUT_CELL_KEYBINDING_LEXICON	Open Lexicon
SETTINGS_INPUT_CELL_KEYBINDING_TAB_MENU	Open Tab Menu
SETTINGS_INPUT_CELL_KEYBINDING_STATS_TAB	Stats Tab
SETTINGS_INPUT_CELL_KEYBINDING_SKILLS_TAB	Skills Tab
SETTINGS_INPUT_CELL_KEYBINDING_ITEM_TAB	Item Tab
SETTINGS_INPUT_CELL_KEYBINDING_QUEST_TAB	Quest Tab
SETTINGS_INPUT_CELL_KEYBINDING_WHO_TAB	Who Tab
SETTINGS_INPUT_CELL_KEYBINDING_HIDE_UI	Hide Game UI
SETTINGS_NETWORK_HEADER_UI_SETTINGS	UI Settings
SETTINGS_NETWORK_CELL_LOCALYSSATION_LANGUAGE	Language
SETTINGS_NETWORK_CELL_DISPLAY_CREEP_NAMETAGS	Display Enemy Nametags
SETTINGS_NETWORK_CELL_DISPLAY_GLOBAL_NICKNAME_TAGS	Display Global Nametags <color=cyan>(@XX)</color>
SETTINGS_NETWORK_CELL_DISPLAY_LOCAL_NAMETAG	Display Local Character Name Tag
SETTINGS_NETWORK_CELL_DISPLAY_HOST_TAG	Display [HOST] Tag on Host Character
SETTINGS_NETWORK_CELL_HIDE_DUNGEON_MINIMAP	Hide Dungeon Minimap
SETTINGS_NETWORK_CELL_HIDE_FPS_COUNTER	Hide FPS Counter
SETTINGS_NETWORK_CELL_HIDE_PING_COUNTER	Hide Ping Counter
SETTINGS_NETWORK_CELL_HIDE_STAT_POINT_COUNTER	Hide Stat Point Notice Panel
SETTINGS_NETWORK_CELL_HIDE_SKILL_POINT_COUNTER	Hide Skill Point Notice Panel
SETTINGS_NETWORK_HEADER_CLIENT_SETTINGS	Client Settings
SETTINGS_NETWORK_CELL_ENABLE_PVP_ON_MAP_ENTER	Flag for PvP when available
SETTINGS_BUTTON_RESET_TO_DEFAULTS	Reset to Defaults
SETTINGS_BUTTON_RESET	Reset
SETTINGS_BUTTON_CANCEL	Cancel
SETTINGS_BUTTON_APPLY	Apply
FORMAT_ITEM_RARITY	[{0}]
FORMAT_ITEM_TOOLTIP_VENDOR_VALUE_COUNTER	{0}
FORMAT_ITEM_TOOLTIP_VENDOR_VALUE_COUNTER_MULTIPLE	<color=grey>(x{0} each)</color> {1}
ITEM_TOOLTIP_GAMBLE_ITEM_NAME	Mystery Item
ITEM_TOOLTIP_GAMBLE_ITEM_RARITY	[Unknown]
ITEM_TOOLTIP_GAMBLE_ITEM_DESCRIPTION	You can't really see what this is until you buy it.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_HEALTH_APPLY	Recovers {0} Health.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_MANA_APPLY	Recovers {0} Mana.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_STAMINA_APPLY	Recovers {0} Stamina.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_EXP_GAIN	Gain {0} Experience on use.
ITEM_TOOLTIP_TYPE_CONSUMABLE	Consumable
ITEM_TOOLTIP_TYPE_TRADE	Trade Item
EQUIP_TOOLTIP_GAMBLE_ITEM_NAME	Mystery Gear
EQUIP_TOOLTIP_GAMBLE_ITEM_RARITY	[Unknown]
EQUIP_TOOLTIP_GAMBLE_ITEM_TYPE	???
EQUIP_TOOLTIP_GAMBLE_ITEM_DESCRIPTION	You can't really see what this is until you buy it.
FORMAT_EQUIP_LEVEL_REQUIREMENT	Lv-{0}
FORMAT_EQUIP_CLASS_REQUIREMENT	Class: {0}
FORMAT_EQUIP_WEAPON_CONDITION	\n<color=lime>- <color=yellow>{0}%</color> chance to apply {1}.</color>
EQUIP_TOOLTIP_TYPE_HELM	Helm (Armor)
EQUIP_TOOLTIP_TYPE_CHESTPIECE	Chestpiece (Armor)
EQUIP_TOOLTIP_TYPE_LEGGINGS	Leggings (Armor)
EQUIP_TOOLTIP_TYPE_CAPE	Cape (Armor)
EQUIP_TOOLTIP_TYPE_RING	Ring (Armor)
FORMAT_EQUIP_TOOLTIP_TYPE_WEAPON	{0} (Weapon)
EQUIP_TOOLTIP_TYPE_SHIELD	Shield
FORMAT_EQUIP_STATS_DAMAGE_SCALED	<color=#c5e384>({0} - {1})</color> Damage
FORMAT_EQUIP_STATS_DAMAGE_SCALED_POWERFUL	<color=#efcc00>({0} - {1})</color> Damage
FORMAT_EQUIP_STATS_DAMAGE_COMPARE_BASE	\n<color=grey>(Base Damage: {0} - {1})</color>
FORMAT_EQUIP_STATS_DAMAGE_UNSCALED	({0} - {1}) Damage
FORMAT_EQUIP_STATS_BLOCK_THRESHOLD	Block threshold: {0} damage
TAB_MENU_CELL_STATS_HEADER	Stats
TAB_MENU_CELL_STATS_ATTRIBUTE_POINT_COUNTER	Points
TAB_MENU_CELL_STATS_BUTTON_APPLY_ATTRIBUTE_POINTS	Apply
TAB_MENU_CELL_STATS_INFO_CELL_NICK_NAME	Nickname
TAB_MENU_CELL_STATS_INFO_CELL_RACE_NAME	Race
TAB_MENU_CELL_STATS_INFO_CELL_CLASS_NAME	Class
TAB_MENU_CELL_STATS_INFO_CELL_LEVEL_COUNTER	Level
TAB_MENU_CELL_STATS_INFO_CELL_EXPERIENCE	Experience
TAB_MENU_CELL_STATS_INFO_CELL_MAX_HEALTH	Health
TAB_MENU_CELL_STATS_INFO_CELL_MAX_MANA	Mana
TAB_MENU_CELL_STATS_INFO_CELL_MAX_STAMINA	Stamina
TAB_MENU_CELL_STATS_INFO_CELL_ATTACK	Attack Power
TAB_MENU_CELL_STATS_INFO_CELL_RANGED_POWER	Dex Power
TAB_MENU_CELL_STATS_INFO_CELL_PHYS_CRITICAL	Phys. Crit %
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_POW	Mgk. Power
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_CRIT	Mgk. Crit %
TAB_MENU_CELL_STATS_INFO_CELL_DEFENSE	Defense
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_DEF	Mgk. Defense
TAB_MENU_CELL_STATS_INFO_CELL_EVASION	Evasion %
TAB_MENU_CELL_STATS_INFO_CELL_MOVE_SPD	Mov Spd %
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_BEGIN	<b>Base Stat:</b> <i>
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_CRIT	%</i> (Critical %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_EVASION	%</i> (Evasion %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_ATTACK_POW	{0}</i> (Attack Power)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_MP	{0}</i> (Max Mana)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_HP	{0}</i> (Max Health)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_RANGE_POW	{0}</i> (Dex Power)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_MAGIC_CRIT	%</i> (Magic Critical %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_DEF	{0}</i> (Magic Defense)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_DEFENSE	{0}</i> (Defense)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_POW	{0}</i> (Magic Power)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_STAM	{0}</i> (Max Stamina)
TAB_MENU_CELL_SKILLS_HEADER	Skills
TAB_MENU_CELL_SKILLS_SKILL_POINT_COUNTER	Skill Points
TAB_MENU_CELL_SKILLS_CLASS_TAB_TOOLTIP_NOVICE	General Skills
TAB_MENU_CELL_SKILLS_CLASS_TAB_TOOLTIP	{0} Skills
TAB_MENU_CELL_SKILLS_CLASS_HEADER_NOVICE	General Skillbook
TAB_MENU_CELL_SKILLS_CLASS_HEADER	{0} Skillbook
SKILL_RANK_SOULBOUND	Soulbound Skill
FORMAT_SKILL_RANK	[Rank {0} / {1}]
FORMAT_SKILL_TOOLTIP_DAMAGE_TYPE	{0} Skill
FORMAT_SKILL_TOOLTIP_ITEM_COST	x{0} {1}
FORMAT_SKILL_TOOLTIP_MANA_COST	{0} Mana
FORMAT_SKILL_TOOLTIP_HEALTH_COST	{0} Health
FORMAT_SKILL_TOOLTIP_STAMINA_COST	{0} Stamina
SKILL_TOOLTIP_CAST_TIME_INSTANT	Instant Cast
FORMAT_SKILL_TOOLTIP_CAST_TIME	{0} sec Cast
FORMAT_SKILL_TOOLTIP_COOLDOWN	{0} sec Cooldown
SKILL_TOOLTIP_PASSIVE	Passive Skill
SKILL_TOOLTIP_RANK_DESCRIPTOR_NEXT_RANK	\n<color=white><i>[Next Rank]</i></color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_CURRENT_RANK	\n<color=white><i>[Rank {0}]</i></color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_REQUIRED_LEVEL	<color=red>\n(Requires Lv. {0})</color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_COOLDOWN	<color=yellow>{0} sec cooldown.</color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_CAST_TIME	<color=yellow>{0} sec cast time.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CAST_TIME_INSTANT	<color=yellow>instant cast time.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_CANCEL_ON_HIT	 <color=yellow>Cancels if hit.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_IS_PERMANENT	 <color=yellow>Permanent.</color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_DURATION	 <color=yellow>Lasts for {0} seconds.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_IS_STACKABLE	 <color=yellow>Stackable.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_IS_REFRESHABLE	 <color=yellow>Refreshes when re-applied.</color>
FORMAT_QUEST_REQUIRED_LEVEL	(lv-{0})
QUEST_TYPE_CLASS	(Class Tome)
QUEST_TYPE_MASTERY	(Mastery Scroll)
QUEST_MENU_SUMMARY_NO_QUESTS	No Quests in Quest Log.
QUEST_MENU_HEADER_UNSELECTED	Select a Quest.
FORMAT_QUEST_MENU_CELL_QUEST_LOG_COUNTER	Quest Log: ({0} / {1})
FORMAT_QUEST_MENU_CELL_FINISHED_QUEST_COUNTER	Completed Quests: {0}
FORMAT_QUEST_MENU_CELL_REWARD_EXP	{0} exp
FORMAT_QUEST_MENU_CELL_REWARD_CURRENCY	{0} Crowns
QUEST_MENU_CELL_SLOT_EMPTY	Empty Slot
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_ACCEPT	Accept Quest
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_LOCKED	Quest Locked
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_INCOMPLETE	Quest Incomplete
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_TURN_IN	Complete Quest
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_UNSELECTED	Select a Quest
FORMAT_QUEST_PROGRESS	{0}: ({1} / {2})
FORMAT_QUEST_PROGRESS_CREEPS_KILLED	{0} slain
ITEM_LEATHER_CAP_NAME	Leather Cap
ITEM_LEATHER_CAP_DESCRIPTION	
ITEM_NEWFOLD_HALO_NAME	Newfold Halo
ITEM_NEWFOLD_HALO_DESCRIPTION	A sigil to indicate a new soul's introduction to the world.
ITEM_FOCUS_CIRCLET_NAME	Focus Circlet
ITEM_FOCUS_CIRCLET_DESCRIPTION	Keep still.
ITEM_JOURNEYMAN_SPECTACLES_NAME	Journeyman Spectacles
ITEM_JOURNEYMAN_SPECTACLES_DESCRIPTION	Used to read harder-- now with color!
ITEM_MAGISTRATE_CIRCLET_NAME	Magistrate Circlet
ITEM_MAGISTRATE_CIRCLET_DESCRIPTION	Clears the mind, putting things at ease.
ITEM_RAGE_CIRCLET_NAME	Rage Circlet
ITEM_RAGE_CIRCLET_DESCRIPTION	Fervor of angst and envy.
ITEM_GEISTLORD_CROWN_NAME	Geistlord Crown
ITEM_GEISTLORD_CROWN_DESCRIPTION	Can you handle the madness that ensues?
ITEM_NETHERCRYPT_HALO_NAME	Nethercrypt Halo
ITEM_NETHERCRYPT_HALO_DESCRIPTION	Banished crown from the nether realms.
ITEM_MITHRIL_HALO_NAME	Mithril Halo
ITEM_MITHRIL_HALO_DESCRIPTION	
ITEM_GLYPHGRIFT_HALO_NAME	Glyphgrift Halo
ITEM_GLYPHGRIFT_HALO_DESCRIPTION	
ITEM_JESTERCAST_MEMORY_NAME	Jestercast Memory
ITEM_JESTERCAST_MEMORY_DESCRIPTION	The true fool is the enemy of the caster...
ITEM_KNIGHTGUARD_HALO_NAME	Knightguard Halo
ITEM_KNIGHTGUARD_HALO_DESCRIPTION	Visions of might and prowess.
ITEM_GEISTLORD_EYE_NAME	Geistlord Eye
ITEM_GEISTLORD_EYE_DESCRIPTION	Madness beyond comprehension.
ITEM_INITIATE_SPECTACLES_NAME	Initiate Spectacles
ITEM_INITIATE_SPECTACLES_DESCRIPTION	Used to read.
ITEM_CRYPTSINGE_HALO_NAME	Cryptsinge Halo
ITEM_CRYPTSINGE_HALO_DESCRIPTION	Rumination of the dead.
ITEM_DIVA_CROWN_NAME	Diva Crown
ITEM_DIVA_CROWN_DESCRIPTION	A crown worn by a Slime Diva. Contains unusual power.
ITEM_IRON_HALO_NAME	Iron Halo
ITEM_IRON_HALO_DESCRIPTION	
ITEM_DEMICRYPT_HALO_NAME	Demicrypt Halo
ITEM_DEMICRYPT_HALO_DESCRIPTION	Fallen from corrupted angels.
ITEM_ACOLYTE_HOOD_NAME	Acolyte Hood
ITEM_ACOLYTE_HOOD_DESCRIPTION	Cultists are seen to wear this.
ITEM_DIRE_HELM_NAME	Dire Helm
ITEM_DIRE_HELM_DESCRIPTION	Once worn by a brave warrior.
ITEM_FESTIVE_HAT_NAME	Festive Hat
ITEM_FESTIVE_HAT_DESCRIPTION	Ho ho... ho!
ITEM_WIZARD_HAT_NAME	Wizard Hat
ITEM_WIZARD_HAT_DESCRIPTION	
ITEM_REGAZUUL_CAPE_NAME	Regazuul Cape
ITEM_REGAZUUL_CAPE_DESCRIPTION	A long forgotten heirloom of Lord Zuulneruda.
ITEM_COZY_CLOAK_NAME	Cozy Cloak
ITEM_COZY_CLOAK_DESCRIPTION	Keeps you warm in the cold weather.
ITEM_NETHERCRYPT_CLOAK_NAME	Nethercrypt Cloak
ITEM_NETHERCRYPT_CLOAK_DESCRIPTION	Rug for the feet of the dead.
ITEM_FORLORN_CLOAK_NAME	Forlorn Cloak
ITEM_FORLORN_CLOAK_DESCRIPTION	Forever lost.
